,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
330,float,67108864,8,0,False,Add,12166.9,0.066338,0.066188,0.066623
331,float,67108864,8,0,False,Triad,12204.0,0.066139,0.065987,0.066484
332,float,67108864,8,0,True,Copy,81.6,6.777622,6.581565,6.932045
333,float,67108864,8,0,True,Scale,80.5,6.793722,6.668973,6.929987
334,float,67108864,8,0,True,Add,96.8,8.680457,8.316523,8.885607
335,float,67108864,8,0,True,Triad,96.9,8.665023,8.311267,8.889713
336,float,67108864,16,0,False,Copy,10915.1,0.049882,0.049186,0.050543
337,float,67108864,16,0,False,Scale,11389.6,0.04726,0.047137,0.047485
338,float,67108864,16,0,False,Add,12245.2,0.065894,0.065765,0.066144
339,float,67108864,16,0,False,Triad,12150.8,0.066454,0.066276,0.066875
340,float,67108864,16,0,True,Copy,81.8,6.764898,6.563429,6.93961
341,float,67108864,16,0,True,Scale,80.7,6.767105,6.649432,6.898331
342,float,67108864,16,0,True,Add,97.2,8.648248,8.286552,8.861795
343,float,67108864,16,0,True,Triad,96.4,8.66046,8.352709,8.869971
344,float,67108864,32,0,False,Copy,10836.9,0.049801,0.049541,0.050122
345,float,67108864,32,0,False,Scale,11415.5,0.047166,0.04703,0.047279
346,float,67108864,32,0,False,Add,12192.2,0.066132,0.066051,0.066229
347,float,67108864,32,0,False,Triad,12221.1,0.066099,0.065895,0.066407
348,float,67108864,32,0,True,Copy,73.5,7.498605,7.308722,7.654949
349,float,67108864,32,0,True,Scale,72.5,7.551946,7.407051,7.779225
350,float,67108864,32,0,True,Add,87.2,9.599118,9.237848,9.773236
351,float,67108864,32,0,True,Triad,86.4,9.656167,9.316778,9.831311
352,float,67108864,64,0,False,Copy,10859.5,0.049839,0.049438,0.050433
353,float,67108864,64,0,False,Scale,11374.4,0.047453,0.0472,0.047639
354,float,67108864,64,0,False,Add,12151.9,0.066527,0.06627,0.066717
355,float,67108864,64,0,False,Triad,12169.9,0.066391,0.066172,0.066732
356,float,67108864,64,0,True,Copy,73.2,7.532197,7.338963,7.679916
357,float,67108864,64,0,True,Scale,72.2,7.578796,7.437599,7.807611
358,float,67108864,64,0,True,Add,86.5,9.630444,9.304673,9.794621
359,float,67108864,64,0,True,Triad,86.2,9.672528,9.342557,9.83968
360,float,67108864,128,0,False,Copy,10790.5,0.050246,0.049754,0.050755
361,float,67108864,128,0,False,Scale,11389.4,0.047465,0.047138,0.047758
362,float,67108864,128,0,False,Add,12142.0,0.066603,0.066324,0.067033
363,float,67108864,128,0,False,Triad,12136.7,0.066534,0.066353,0.066867
364,float,67108864,128,0,True,Copy,72.8,7.573945,7.371193,7.733302
365,float,67108864,128,0,True,Scale,71.7,7.629243,7.487859,7.846389
366,float,67108864,128,0,True,Add,86.3,9.696084,9.329007,9.925346
367,float,67108864,128,0,True,Triad,85.9,9.729557,9.375158,9.918316
368,float,67108864,256,0,False,Copy,10861.5,0.050113,0.049429,0.050603
369,float,67108864,256,0,False,Scale,11234.4,0.047854,0.047788,0.047946
