,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
200,float,16777216,8,0,False,Copy,12016.0,0.011282,0.01117,0.011468
201,float,16777216,8,0,False,Scale,11907.2,0.011343,0.011272,0.011419
202,float,16777216,8,0,False,Add,12510.2,0.016175,0.016093,0.016421
203,float,16777216,8,0,False,Triad,12535.8,0.016186,0.01606,0.016473
204,float,16777216,8,0,True,Copy,81.6,1.703384,1.644465,1.760049
205,float,16777216,8,0,True,Scale,80.1,1.706771,1.675522,1.762239
206,float,16777216,8,0,True,Add,94.4,2.18079,2.132059,2.248179
207,float,16777216,8,0,True,Triad,96.3,2.180063,2.090217,2.230605
208,float,16777216,16,0,False,Copy,11851.3,0.015422,0.011325,0.016776
209,float,16777216,16,0,False,Scale,11741.6,0.015544,0.011431,0.016707
210,float,16777216,16,0,False,Add,12488.5,0.022693,0.016121,0.023867
211,float,16777216,16,0,False,Triad,12478.4,0.022712,0.016134,0.023874
212,float,16777216,16,0,True,Copy,80.6,1.733557,1.66545,1.967924
213,float,16777216,16,0,True,Scale,80.2,1.728133,1.67274,1.952943
214,float,16777216,16,0,True,Add,97.2,2.181469,2.071227,2.266273
215,float,16777216,16,0,True,Triad,95.1,2.188701,2.117956,2.25688
216,float,16777216,32,0,False,Copy,11795.2,0.011424,0.011379,0.011457
217,float,16777216,32,0,False,Scale,11657.0,0.011545,0.011514,0.011597
218,float,16777216,32,0,False,Add,12425.1,0.016249,0.016203,0.01633
219,float,16777216,32,0,False,Triad,12386.3,0.016279,0.016254,0.016304
220,float,16777216,32,0,True,Copy,73.6,1.908106,1.824104,1.970656
221,float,16777216,32,0,True,Scale,71.5,2.315171,1.877132,3.7414
222,float,16777216,32,0,True,Add,87.4,2.677121,2.303854,4.370214
223,float,16777216,32,0,True,Triad,86.6,2.471178,2.325383,2.524576
224,float,16777216,64,0,False,Copy,11825.4,0.011397,0.01135,0.01151
